33226224_635.cml_Service_messages_0	Service messages	"Service messages."
33227784_646.cml_My_contacts_1	My contacts	"Displaying contacts

 On the Control Display:
1.  Contacts 
2.  My contacts All contacts are listed in alphabetical order. Depending on the number of contacts, an A-Z search is offered.
A symbol indicates the storage location of the contacts: Symbol
Storage location

Vehicle.
Mobile phone."
33227784_646.cml_My_contacts_2	My contacts	"Dialing a phone number

 On the Control Display:
1. Select the desired contact.
2. Select the phone number.
The connection is established."
33227784_646.cml_My_contacts_3	My contacts	"Editing a contact

 On the Control Display:
1. Select the desired contact.
2.  Edit contact 
3. Change the entries.
4. Move the Controller to the left.
5.  Yes If a contact from the mobile phone is edited, the changes are not stored on the mobile phone. A copy of the entry is stored in the vehicle, and only this copy is displayed. Under certain circumstances, a contact entry with the same name is created. If a contact from the mobile phone is edited, the changes are not stored on the mobile phone. A copy of the entry is stored in the vehicle. Contact entries having identical names are combined into one contact."
33227784_646.cml_My_contacts_4	My contacts	"Selecting the contact as a navigation destination

 On the Control Display:
1. Select the desired contact.
2. Select the address.
When contacts from the mobile phone are used, the address may need to be matched to the navigation data contained in the vehicle. In this case: correct the address.
3.  Start guidance  or  Add as another dest.  Storing contact as waypoint

 A contact can be stored as waypoint or added to a waypoint.
On the Control Display:
1. Select the desired contact.
2. Open  Options .
3. If needed, check address as destination.
Only contacts with checked addresses can be stored as waypoint.
4.  n. t. a. (ASIA NAV)  Checking the address as a destination

 An address that is to be used for destination guidance must match the navigation data contained in the vehicle. The address can be checked for this purpose.
On the Control Display:
1. Select the desired contact and highlight the address.
2. Open  Options .
3.  Check as destination 
4. Correct and store the address if needed.If the address is corrected and stored, a copy of it is stored in the vehicle. The address is not changed on the mobile phone. Selecting the sorting order of the names

 Names can be displayed in a different order.
On the Control Display:
1.  My contacts 
2. Open  Options .
3.  Display last name first  or  Display first name first Depending on how the contacts were stored on the mobile phone, the sorting order of the names may differ from the selected sorting order. Exporting/importing contacts

 Contacts can be exported and imported via the Personal Profile."
33227784_646.cml_My_contacts_5	My contacts	"Deleting contacts

 The contacts that are stored in the vehicle are deleted.
On the Control Display:
1.  My contacts 
2. Highlight the contact.
3. Open  Options .
4.  Delete contact  or  Delete all contacts "
33227843_567.cml_Television,_TV_0	Television, TV	"General information

 For your own safety, the TV image in the front is only displayed up to a vehicle speed of approx. 3 km/h and in some countries only with the parking brake set or in selector lever position P. For your own safety, the TV image in the front is only displayed up to a vehicle speed of approx. 3 km/h, approx. 2 mph and in some countries only with the parking brake set or in selector lever position P. For your own safety, the TV image in the front is only displayed up to a vehicle speed of approx. 3 km/h and in some countries only with the parking brake set or in drive mode P. For your own safety, the TV image in the front is only displayed up to a vehicle speed of approx. 3 km/h, approx. 2 mph and in some countries only with the parking brake set or in drive mode P. Only make entries while stationary Settings are stored for the profile currently used."
33227843_567.cml_Television,_TV_1	Television, TV	"Selecting a channel

 All TV channels and TV radio stations with reception are presented in a list. The radio stations appear at the end of the list. All channels with reception are presented in a list. Under certain circumstances, the list of receivable channels is not updated automatically. If necessary, update the list using the station scan.
Symbol
Meaning
Digital TV channel. TV channel not compatible for mobile reception. No symbol
Analog TV channel, country-specific. Digital radio station. Digital TV channel, optimized for mobile reception if there is low resolution. Digital high resolution TV channel. Subscription for TV channel has expired. 1.  Multimedia 
2.  TV 
3.  All programs 
The channel selected last is displayed.
4. Select the desired channel.The display switches to full-screen mode after a short time. To display the navigation bar again: press the Controller."
33227843_567.cml_Television,_TV_2	Television, TV	"Information field

 After you change to a new channel, a field containing information about the selected channel is displayed briefly.
Symbol
Meaning

Channel info available.
Digital TV channel. Digital high resolution TV channel. Digital radio station. TV channel not compatible for mobile reception. 
Multiple sound tracks present.

Sound track present in multichannel playback, surround.
Subtitles available. BML available. Video text available. Subscription for TV channel has expired."
33227843_567.cml_Television,_TV_3	Television, TV	"Station scan

 The station scan can take up to 2 minutes, depending on the number of channels offered. If not all channels offered are listed, set the TV region if needed.
1.  Multimedia 
2.  TV 
3. Open  Options .
4.  Station search Stopping the station scan

  Cancel station search "
33227843_567.cml_Television,_TV_4	Television, TV	"Changing the channel

 1.  Multimedia 
2.  TV 
3. Execute one of the following items:
-  Next program  or Previous program 
- Press button.
- Turn the Controller.The next or previous channel from the most recently selected list of all channels or stored channels is displayed."
33227843_567.cml_Television,_TV_5	Television, TV	"Storing a channel

 1.  Multimedia 
2.  TV 
3.  All programs 
4. Highlight the desired channel.
5. Open  Options .
6.  Store program 
7. Select the desired memory location."
33227843_567.cml_Television,_TV_6	Television, TV	"Electronic channel magazine

 Some stations offer an electronic channel magazine.
1.  Multimedia 
2.  TV 
3.  Program info The TV program for the current and next broadcast is displayed.
If some letters are not correctly displayed, you may have to set the TV region.
Displaying broadcast information

 Detailed information about a broadcast can be displayed provided the station makes it available.
Select the broadcast to display the detailed information.
Select thesymbol to switch directly to the broadcast. Display daily program

 The entire day's program of a station can be displayed, provided the station broadcasts this information.
Select the station name to display the day's program."
33227843_567.cml_Television,_TV_7	Television, TV	"Stored channels

 Up to 25 channels can be stored.
1.  Multimedia 
2.  TV 
3.  Stored programs 
4. Select the desired channel."
33227843_567.cml_Television,_TV_8	Television, TV	"Deleting a channel

 1.  Multimedia 
2.  TV 
3.  Stored programs 
4. Highlight the channel to be deleted.
5. Open  Options .
6.  Delete "
33227843_567.cml_Television,_TV_9	Television, TV	"Setting the TV

 Color

 1.  Multimedia 
2.  TV 
3. Open  Options .
4.  Display settings 
5.  Color 
6. To adjust: turn the Controller.
7. To store: press the Controller.Brightness and contrast

 1.  Multimedia 
2.  TV 
3. Open  Options .
4.  Display settings 
5.  Brightness  or  Contrast 
6. Turn the Controller until the desired setting is reached, and press the Controller.Zoom

 Display a larger view of the TV image.
1.  Multimedia 
2.  TV 
3. Open  Options .
4.  Display settings 
5.  Zoom mode TV region

 The TV region is not the same in all countries. For optimal TV reception, tune to the TV region as necessary. For more information: www.bmw.com/tvregion. 1.  Multimedia 
2.  TV 
3. Open  Options .
4.  TV region 
5. Select the desired region.Automatic analog/digital switching Automatic signal switching 

 Automatic switching between analog and digital reception of a station when digital reception is no longer available in a region. Prerequisite: the station must be available as an analog station. Automatic switching between stations with high and low resolution, if the station with high resolution is no longer available in a region. Prerequisite: the station with low resolution must be available. 1.  Multimedia 
2.  TV 
3. Select the desired station.
4. Open  Options .
5.  Station following If the station tracking is deactivated, and if there are multiple stations having the same name, they are displayed but with different station numbers. Displaying subtitles

 The display of subtitles depends on the services offered by the respective station.
1.  Multimedia 
2.  TV 
3. Open  Options .
4.  Subtitles 
5. Select the desired language or  No subtitles . Subscribing to a TV channel

 If the subscription for a TV channel has expired, it can be extended. The number of the subscription is needed for this.
1.  Multimedia 
2.  TV 
3. Open  Options .
4.  CA ID 
5. The number of the subscription is displayed."
33227843_567.cml_Television,_TV_10	Television, TV	"Video text

 Opening the video text

 1.  Multimedia 
2.  TV 
3.  Teletext Selecting a page

 1.  Select page 
2. Turn the Controller until the desired page number is displayed.
3. Press the Controller.If the contents do not fit onto one page, the display scrolls automatically.
Changing pages

 Select theorsymbol.
Zoom

 The upper and lower halves of the page can be enlarged.
 Zoom  and press repeatedly until the desired view is displayed.
Scrolling pages automatically

 A page can consist of several subordinate pages that are turned automatically.
To prevent scrolling:select the symbol.
To permit scrolling:select the symbol. Broadcaster Messages, EMM

 Opening the EMM

 1.  TV 
2. Open  Options .
3.  n. t. a. (JP) Operating the EMM

 - Tilt the Controller in the desired direction to highlight the elements and press the Controller.
- Select thesymbol with the desired color to call up the corresponding elements.
- Select the symbol to display the previous page.Leaving the EMM

 Select the symbol. BML

 Opening the BML

 1.  TV 
2.  Teletext Operating the BML

 - Tilt the controller in the desired direction to highlight the elements.
Selectto confirm the element.
- Select thesymbol with the desired color to call up the corresponding elements.
- Select the symbol to display the previous page.
- Select thesymbol to enter numbers.Leaving the BML

 Select the symbol. Emergency Warning System

 The concept

 The Emergency Warning System issues warnings about storms as well as natural catastrophes, such as earthquakes, tsunamis, tidal waves and the like.
When a warning is current, a message is displayed on the Control Display.
As long as this warning is current, the warning is regularly updated and displayed if needed.
Displaying warning messages

 Symbol is displayed in the function bar if a warning is active.
1.  Multimedia   Radio/TV 
2.  TV   DAB/DMB 
3.  Emergency warning system The current warnings are displayed.
Display on the Control Display

 Symbol
Function

Read warning in advance.

Display TV."
33228244_785.cml_Adjusting_0	Adjusting	"Function
Command
Open the main menu.
 Main menu 
 Options , open the menu.
 Options 
 Settings , open the menu.
 Settings 
Switch off the Control Display.
 Control display off  Open the settings for the Control Display.
 Control display 
Select split screen content.
 Split screen ... , for example, map split screen Open settings for info display of the instrument cluster.
 Instrument cluster 
Open settings for time and date.
 Time and date 
Open settings for language and units.
 Language and units 
Open setting for speed limit.
 Speed 
Open settings for light.
 Lighting 
Open settings for door locking.
 Doors and key 
Open settings for climate control.
 Climate 
Open settings for snowchains.
 Tire chains  Open settings for M Drive.
 M Drive  Open settings for M Drive 1.
 M Drive 1  Open settings for M Drive 2.
 M Drive 2  Open settings for Personal Profile.
 Profiles 
Open settings for driving mode.
 Driving mode  Open settings for Sport mode.
 Sport mode  Open settings for ECO PRO mode.
 ECO PRO mode  Open settings for Head-up Display.
 head up display  Open settings for Intelligent Safety.
 Intelligent Safety 
Open settings for front-end collision warning.
 Frontal Collision Warning  Open settings for eDrive.
 Auto eDRIVE  Open settings for charging.
 Charging  Open settings for Range Extender.
 Range extender  Open settings for DTC.
 Traction control 
Open settings for acoustic pedestrian protection.
 Pedestrian Protection  Open settings for Touchpad.
 Touchpad 
Open settings for data connections.
 Connections 
Transfer audio/video source to the rear.
 Rear  Open settings for headphones in the rear.
 Headphones  Open setting for headphones and remote control in the rear.
 Headphones and remote  Open settings for enabling the rear seat.
 Rear entertainment  Open sport displays.
 Driving Excitement "
33228443_674.cml_BMW_ConnectedDrive_servicesBMW i_ConnectedDrive_services_0	BMW ConnectedDrive services BMW i ConnectedDrive services	"The concept

 The BMW ConnectedDrive services offer the option of exchanging information and data with the vehicle via BMW Online. BMW Online is an integral part of BMW ConnectedDrive services. The BMW i ConnectedDrive services offer the option of exchanging information and data with the vehicle via BMW Online. BMW Online is an integral part of BMW i ConnectedDrive services. The following functions are available:"
33228443_674.cml_BMW_ConnectedDrive_servicesBMW i_ConnectedDrive_services_1	BMW ConnectedDrive services BMW i ConnectedDrive services	"BMW Online

 - Mobile online portal BMW Online."
33228443_674.cml_BMW_ConnectedDrive_servicesBMW i_ConnectedDrive_services_2	BMW ConnectedDrive services BMW i ConnectedDrive services	"Navigation

 - Import trips.
- Information on the Points of Interest of BMW Online.
- Display of current traffic rules for and information on the country. Multimedia

 - Update album information. Contacts

 - Display of BMW Online address book.
- Displaying additional information from BMW Online."
33228443_674.cml_BMW_ConnectedDrive_servicesBMW i_ConnectedDrive_services_3	BMW ConnectedDrive services BMW i ConnectedDrive services	"Messages

 - My Info Messages."
33228443_674.cml_BMW_ConnectedDrive_servicesBMW i_ConnectedDrive_services_4	BMW ConnectedDrive services BMW i ConnectedDrive services	"Personal Profile

 - Export/import user profile."
33228472_571.cml_General_information_0	General information	"General information

 
Depending on their functionality, external devices can be used via the vehicle as a telephone or as an audio source.
 
Up to four external devices can be paired with the vehicle.
 
Up to four external devices can be paired with the vehicle. If the telephone in the rear is paired, another three external devices can be paired."
33228688_497.cml_Destination_entry_by_voice_0	Destination entry by voice	"General information

 - Instructions for voice activation system.
- When making a destination entry by voice, you can change between voice operation and iDrive.
- To have the available spoken instructions read out loud:  Voice commands ."
33228688_497.cml_Destination_entry_by_voice_1	Destination entry by voice	"Saying the entries

 - The town/city, street, and house number can be entered as a single command.
- Countries, towns and cities, streets, and intersections can be said as whole words or spelled in the language of the system. Example: to enter a town/city in Germany as a whole word, the language of the system must be German. Example: to enter a town/city in a US state as a whole word, the language of the system must be English.
- Spell the entry if the spoken language and the language of the system differ.
- Say the letters smoothly, and avoid exaggerating the pronunciation and inserting lengthy pauses between the letters.
- The options available for entering data depend on the navigation data and the country and language settings."
33228688_497.cml_Destination_entry_by_voice_2	Destination entry by voice	"Entering an address in a command

 1. Press button on the steering wheel.
2.  Enter address 
3. Wait for a request from the system.
4. Say the address in the suggested order.
5. Continue making the entry as prompted by the system.If necessary, individually name the separate components of the address, for example, the town/city."
33228688_497.cml_Destination_entry_by_voice_3	Destination entry by voice	"Entering a town/city separately

 The name of the town/city can be spoken as a word or spelled out.
1. Press button on the steering wheel.
2.  Enter address 
3.  City  or  Spell city .
4. Wait for the system to prompt you for the town/city.
5. Say the name of the town/city, or say at least the first three letters.
Depending on the entry, up to 20 towns/cities may be suggested.
6. Select the town/city.
- To select a recommended town/city:  Yes .
- To select a different town/city:  New entry .
- Select an entry:  Entry ... , for example, entry 2.
- To spell an entry:  Spell city .
- Scrolling:  Page down ,  Previous page .
7. Continue making the entry as prompted by the system."
33228688_497.cml_Destination_entry_by_voice_4	Destination entry by voice	"Entering a street or intersection separately

 Enter a street and intersection in the same way as you would enter a town/city."
33228688_497.cml_Destination_entry_by_voice_5	Destination entry by voice	"Entering a house number separately

 Depending on the data in the navigation system, house numbers up to number 2,000 can be entered.
1. Press button on the steering wheel.
2.  Enter address 
3.  House number 
4. Say the house number.
Say each digit separately.
5. Continue making the entry as prompted by the system."
33229597_627.cml_Exporting/importing_contacts_0	Exporting/importing contacts	"Contacts can be exported and imported via the Personal Profile. The contacts stored in the vehicle are exported, but not those from the mobile phone or from BMW Online. Contacts can be exported and imported via the Personal Profile. The contacts stored in the vehicle are exported, but not those from the mobile phone."
33229743_552.cml_Video_0	Video	"General information

 The video image on the front Control Display is switched off when a country-dependent speed is exceeded."
33229743_552.cml_Video_1	Video	"Country codes

 Only DVDs with the country code selected during vehicle ordering can be played. Refer to the information on the CD as well.
Code
Region
1
USA, Canada.
2
Japan, Europe, Middle East, South Africa.
3
Southeast Asia.
4
Australia, Central and South America, New Zealand.
5
Northwest Asia, North Africa.
6
China.
0
All regions."
33229743_552.cml_Video_2	Video	"Playback

 1.  Multimedia 
2.  CD/DVD 
3. Select a DVD with video content.
4.  Play "
33229743_552.cml_Video_3	Video	"Video menu

 To open the video menu:
Press button or move Controller during playback.
Symbol
Function

Open the DVD menu.
Set language and subtitles. 
Start playback.

Pause.

Stop.

Next chapter.

Previous chapter.

Fast forward.

Reverse.
In fast forward/reverse: the speed increases every time the Controller is pressed. To stop, start playback.
The video menu is automatically faded after some time."
33229743_552.cml_Video_4	Video	"DVD menu

 Many DVDs have their own menus. The display depends on the contents of the DVD.
1. If necessary, press this button or move the Controller to call up the Video menu.
2.  DVD menu 
3. To select menu items: move the Controller and press it."
33229743_552.cml_Video_5	Video	"Settings for DVD

 For some DVDs, settings can only be made via the DVD menu; refer also to the information on the DVD.
Selecting the language

 The languages that are available depend on the DVD.
1.  Multimedia 
2.  CD/DVD 
3. Select the symbol.
4.  Language 
5. Select the desired language.Selecting the subtitles

 The subtitles that are available depend on the DVD.
1.  Multimedia 
2.  CD/DVD 
3. Select the symbol.
4.  Subtitles 
5. Select the desired language or  Do not display subtitles .Setting the brightness, contrast and color

 1. During playback: call  Options .
2.  Display settings 
3.  Brightness ,  Contrast  or  Color 
4. Turn the Controller until the desired setting is reached, and press the Controller.Selecting the zoom

 Display the video image on the entire screen.
1. Turn the Controller during playback.
2. Open  Options .
3.  Additional options 
4.  Zoom mode Selecting a track

 DVD video:
1. Turn the Controller when the DVD menu is displayed.
2. Open  Options .
3.  Additional options 
4.  Select track 
5. Select the desired track.Selecting the camera angle

 The availability of a different camera angle depends on the DVD and the current DVD track.
1. Turn the Controller during playback.
2. Open  Options .
3.  Additional options 
4.  Viewing angle 
5. Select the desired camera angle.Call the main menu or the DVD submenu, Back

 These functions are not contained on every DVD. Therefore, they may not be available for use."
33229921_633.cml_Text_messages_0	Text messages	"General information

 Text messages transferred from the mobile phone to the vehicle."
33229921_633.cml_Text_messages_1	Text messages	"Additional functions

 The following functions are available when a text message is selected:
Symbol
Function
 Scroll through the text message.

 Text-to-speech .

 Call sender 
 
 Use contact data .
 Reply  Select from:  Reply   Forward 
Send text message. 
 Mark as unread 
 Mark as read 

 Delete message 
Text messages are also deleted in the mobile phone."
33230132_491.cml_Manual_destination_entry_0	Manual destination entry	"General information

 The system supports you in entering city or street names, for example, by automatically completing the entry.
Stored town/city and street names can be called up quickly.
- If the existing entries should not be changed, the entries for the state/province and town/city can be skipped.
- Destination guidance is started to the town/city center if no street is entered.
- If part of an address has not been entered or entered ambiguously, a list of corresponding options will be displayed after the destination has been accepted."
33230132_491.cml_Manual_destination_entry_1	Manual destination entry	"Entering a state/province

 1.  Navigation 
2.  Enter address 
3. Select  State/Province  or the displayed state/province. Select  State/Province  or the displayed state/province."
33230132_491.cml_Manual_destination_entry_2	Manual destination entry	"Entering a town/city

 1. Select  City/Postal code  or the displayed town/city.
2. Select letters, if needed.
The list is narrowed down further with each entry.
3. Move the Controller to the right.
4. Select the town/city name from the list.If there are several towns/cities with the same name: 1. Change to the list of town/city names.
2. Select the town/city. Entering the postal code

 1. Select  City/Postal code  or the displayed town/city.
2. Select the numbers.
3. Change to the list of postal codes and towns/cities.
4. Selecting an entry. Entering a street and house number

 1. Select  Street  or the displayed street.
2. Enter the street as you would the town/city.
3.  House number 
4. Select the numbers.
5. Change to the list of house numbers.
6. Select a house number or range of house numbers. Entering the address

 Entering a house number

 1.  House number 
2. Select the numbers.
3. Change to the list of house numbers.
4. Select a house number or range of house numbers.Entering the street

 1. Select  Street  or the displayed street.
2. Select letters, if needed.
The list is narrowed down further with each entry.
3. Move the Controller to the right.
4. Select the street names from the list.If there are several streets with the same name:
1. Change to the list of street names.
2. Select the street.Entering a town/city

 1. Select  City/Postal code  or the displayed town/city.
2. Enter a town/city as you would the street.Entering the postal code

 1. Select  City/Postal code  or the displayed town/city.
2. Select the numbers.
3. Change to the list of postal codes and towns/cities.
4. Selecting an entry. Entering the address

 Entering the address via the house number

 1.  House number 
2. Enter the house number.
3.  OK 
4. Enter the street.
The list is narrowed down further with each entry.
5.  OK 
6. Select the street from the list.
7. Enter the town/city.
8. Select the city as you would the street.Entering the address via the street

 1.  Street 
2. Enter the street.
The list is narrowed down further with each entry.
3.  OK 
4. Select the street from the list.
5. Enter the town/city.
6. Select the city as you would the street.Entering the address via the city

 1.  City/Postal code 
2. Enter the town/city.
The list is narrowed down further with each entry.
3.  OK 
4. Select a city from the list.
5. If necessary, enter the street.
6. Select the street as you would the city.
7. If necessary, enter a house number.
8.  OK 
9. Select a house number or range of house numbers from the list.Entering an address via an intersection

 1.  Intersection 
2. Enter the town/city.
The list is narrowed down further with each entry.
3.  OK 
4. Select a city from the list.
5. Enter the street.
6. Select the street as you would the city.
7. Enter an intersection.
8. Select the intersection as you would the city. Or: enter a street and intersection

 1. Select  Street  or the displayed street.
2. Enter a street and intersection in the same way as you would enter a town/city.If there are several streets with the same name:
1. Change to the list of street names.
2. Select the street. Searching for the street

 The desired street does not exist in the specified city/town because it belongs to another part of the city/town.
1.  Navigation 
2.  Enter address 
3. Select  Street  or the displayed street.
4. Change to the list of street names.
5. Select  In  the displayed country.
All streets of the selected state/province are offered. The associated town/city is displayed after the street name.
6. Select the letters.
7. Change to the list of street names.
8. Select the street. Starting destination guidance

 1.  Start guidance 
2.  Start guidance  or  Add as another dest. 
Add a destination as another destination. Starting destination guidance

  Start guidance  or  Add as another dest. 
Add a destination as another destination. Destination entry via the Concierge service Destination entry via the Concierge service 

 1.  Navigation 
2.  Enter address 
3.  Concierge A connection is established to the Concierge service. A connection is established to the Concierge service."
33230291_660.cml_Service_Request_0	Service Request	"The concept

 Data on the vehicle's service requirements is sent to the dealer's service center by a manually-triggered Service Request. If possible, the dealer's service center will contact you and a service appointment can be arranged."
33230291_660.cml_Service_Request_1	Service Request	"General information

 A Service Request can be started via a Check Control message."
33230291_660.cml_Service_Request_2	Service Request	"Starting a Service Request

 On the Control Display:
1.  BMW Assist  or  ConnectedDrive 
2.  Service Request   Service Request 
3.  Start service "
