33487106_314.cml_Airbags_4	Airbags	"Protective action

 Airbags are not triggered in every impact situation, e.g., in less severe accidents or rear-end collisions.
Information for optimum effect of the airbags

 Optimum protective effect of the airbags
- Keep at a distance from the airbags.
- Always grasp the steering wheel on the steering wheel rim. Hold your hands at the 3 o'clock and 9 o'clock positions, to keep the risk of injury to your hands or arms as low as possible when the airbag is triggered.
- Make sure that the front passenger is sitting correctly, i.e., keeps his or her feet and legs in the floor area and does not support them on the dashboard.
- Make sure that occupants keep their heads away from the side airbag.
- There should be no persons, animals or objects between an airbag and a person.
- Do not use the cover of the front airbag on the front passenger side as a storage area.
- Dashboard and windshield on the front passenger side must stay clear - do not attach adhesive labels or coverings and do not attach brackets or cables, e. g., for GPS devices or' mobile phones.
- Do not apply adhesive materials to the airbag cover panels, do not cover them or modify them in any way.
- Do not place slip covers, seat cushions or other objects on the front passenger seat that are not specifically suited for seats with integrated side airbags.
- Do not hang pieces of clothing, such as jackets, over the backrests.
- Never modify either the individual components or the wiring in the airbag system. This also applies to steering wheel covers, the dashboard, and the seats.
- Do not remove the airbag system.Even when you follow all instructions very closely, injury from contact with the airbags cannot be fully ruled out in certain situations.
The ignition and inflation noise may lead to short-term and, in most cases, temporary hearing impairment in sensitive individuals.
Warnings and information on the airbags are also found on the sun visors."
33487106_314.cml_Airbags_5	Airbags	"Functional readiness of the airbag system

 Information

 Hot airbag system after triggering
Malfunction, deactivation and after deploying the airbags
Correct function

 When drive-ready state is switched on, the warning lamp in the instrument cluster lights up briefly and thereby indicates the function readiness of the entire airbag system and the belt tensioners.
Airbag system malfunctioning

 - Warning lamp does not come on when drive readiness is switched on.
- The warning lamp lights up continuously."
33487106_314.cml_Airbags_6	Airbags	"Automatic deactivation of the front-seat passenger airbags

 The concept

 The system reads if the front passenger seat is occupied by measuring the human body's resistance.
Front, knee and side airbag on the front passenger's side are either activated or deactivated.
Information

 Before transporting a child on the front passenger seat, refer to the safety notes and instructions for children on the front passenger seat, see Children.
Leave feet in the footwell
Malfunction of the automatic deactivation system

 When transporting older children and adults, the front-seat passenger airbags may be deactivated in certain sitting positions. In this case, the indicator lamp for the front-seat passenger airbags lights up.
In this case, change the sitting position so that the front-seat passenger airbags are activated and the indicator lamp goes out.
If it is not possible to activate the airbags, have the person sit in the rear.
To enable correct recognition of the occupied seat cushion.
- Do not attach covers, cushions, ball mats or other items to the front passenger seat unless they are specifically determined to be safe for use on the front passenger seat.
- Do not place any electronic devices on the passenger seat if a child restraint system is to be installed on it.
- Do not place objects under the seat that could press against the seat from below.
- No moisture in or on the seat.Indicator lamp for the front-seat passenger airbags

 The indicator lamp for the front-seat passenger airbag in the roofliner indicates the operating state of the front-seat passenger airbag.
The lamp indicates whether the airbags are either activated or deactivated.
After drive readiness is switched on, the lamp briefly lights up and then indicates whether the airbags are either activated or deactivated.
- The indicator lamp lights up when a child is properly seated in a child restraint fixing system or when the seat is empty. The airbags on the front passenger side are not activated.
- The indicator lamp does not light up when, for example, a correctly seated person of sufficient size is detected on the seat. The airbags on the front passenger side are activated.Detected child seats

 The system generally detects children seated in a child seat, particularly in child seats required by NHTSA when the vehicle was manufactured. After installing a child seat, make sure that the indicator lamp for the front-seat passenger airbags lights up. This indicates that the child seat has been detected and the front-seat passenger airbags are not activated. Strength of the driver's and front-seat passenger airbag

 The explosive power that activates driver's/front passenger's airbags very much depends on the positions of the driver's/front passenger's seat.
With a respective message appearing on Control Display calibrate the front seats to keep the accuracy of this function over the long-term.
Calibrating the front seats

 Keep the movement area unobstructed
A corresponding message appears on the Control Display.
1. Press the switch and move the respective seat all the way forward.
2. Press the switch forward again. The seat still moves forward slightly.
3. Readjust the seat to the desired position.The calibration procedure is completed when the message on the Control Display disappears.
If the message continues to be displayed, repeat the calibration.
If the message does not disappear after a repeat calibration, have the system checked as soon as possible. Key switch for the front-seat passenger airbags

 General information

 The front and side airbags for the front passenger can be deactivated and activated again using the integrated key of the remote control.
Deactivating the front-seat passenger airbags

 1. Insert the key and press it in further, if required.
2. Keep it pressed and turn it all the way to the OFF position. Pull the key back out while it is in the final position.
3. Ensure that the key switch is in the respective final position to deactivate the airbags.The front-seat passenger airbags are deactivated. The driver airbags remain active.
If a child restraint system is no longer mounted on the front passenger seat, reactivate the front-seat passenger airbags so they are deployed properly in the event of an accident.
The status of the airbags is indicated by the indicator lamp on the roofliner.
Activating the front-seat passenger airbags

 1. Insert the key and press it in further, if required.
2. Keep it pressed and turn it all the way to the ON position. Pull the key back out while it is in the final position.
3. Ensure that the key switch is in the respective final position to activate the airbags.The front-seat passenger airbags are reactivated and are deployed when required.
Indicator lamp for the front-seat passenger airbags

 The indicator lamp for the front-seat passenger airbag in the roofliner indicates the operating state of the front-seat passenger airbag.
After drive-ready state is switched on, the lamp briefly lights up and then indicates whether the airbags are either activated or deactivated.
Display
Function
With an activated front-seat passenger airbag, the indicator lamp lights up briefly and then goes out.
If the front-seat passenger airbags are deactivated, the indicator lamp lights up permanently."
33487236_871.cml_Random_playback_0	Random playback	"Random playback is possible for the current playback list and for all tracks of the selected audio source.
1. Move the controller to the left.
2. Select desired setting:
-  Shuffle 
The playback list is played in random order.
-  Media search 
 Shuffle (music) 
All tracks of the selected audio source are played back in random order."
33487532_166.cml_Active_head_restraint_0	Active head restraint	"In the event of a rear-end collision with a certain severity, the active head restraint automatically reduces the distance from the head.
Wear and tear after accidents or when damaged otherwise:
Have the active head restraint checked and if needed replaced."
33487634_920.cml_Calendar_0	Calendar	"Updating data

 Update data."
33488429_659.cml_Overview_0	Overview	"General information

 The navigation system can determine the precise position of the vehicle with the aid of satellites, and can reliably guide you to every entered destination.
Navigation data are stored in the vehicle and can be updated from an USB device.
With a few exceptions, no entries are possible while driving."
33488429_659.cml_Overview_1	Overview	"Starting navigation system

 1. Press button on the Controller.
2.  Navigation "
33488429_659.cml_Overview_2	Overview	"Information

 All entries in stationary vehicle
Deviations
include text 601a include text 602a include text 603a"
33488429_732.cml_Overview_0	Overview	"General information

 The navigation system can determine the precise position of the vehicle with the aid of satellites, and can reliably guide you to every entered destination.
Navigation data are stored in the vehicle and can be updated from an USB device.
With a few exceptions, no entries are possible while driving."
33488429_732.cml_Overview_1	Overview	"Starting navigation system

 1. Press button on the Controller.
2.  Navigation "
33488429_732.cml_Overview_2	Overview	"Information

 All entries in stationary vehicle
Deviations
include text 601a include text 602a include text 603a"
33488476_253.cml_The_concept_0	The concept	"The instrument cluster is a variable display. In the event of a program change, the display adapts to the respective program through the Driving Dynamics Control. The display change can be deactivated via iDrive.
Some of the displays in the instrument cluster may differ from the way they are shown in this Owner's Manual."
33489163_882.cml_Screens_0	Screens	"Adjusting

 Danger of burns when screen is folded out
Pull on the bottom edge or press the lower edge in order to adjust the tilt"
33489163_882.cml_Screens_1	Screens	"Information

 - When loading the rear seats and adjusting the backrest of the front seat, fold in the screens.
- When using the through-loading system, fold the screens down.
- When cleaning the screens, follow the care instructions."
33489225_889.cml_Selecting_the_entertainment_source_for_the_rear_0	Selecting the entertainment source for the rear	"An entertainment source can be selected for the screens in the rear via iDrive in the front. The selection can be changed via the operating points in the rear.
1.  Media/Radio 
2.  Rear 
3. Select the desired screen or both screens.
4. Select the desired entertainment source.
Only entertainment sources that can be operated in the rear, can be selected."
33489259_869.cml_Online_Entertainment_0	Online Entertainment	"The concept

 Online music service can be accessed via the Internet. A valid membership is required for using the selected music service.
The music provided there can be played and stored in the vehicle. Stored tracks can also be played when there is no Internet connection.
The owner's manual for Online Entertainment is available on the Internet under www.bmw.com, ConnectedDrive Services."
33489259_869.cml_Online_Entertainment_1	Online Entertainment	"Selecting Online Entertainment

 1.  Media/Radio 
2.  Online Entertainment "
33489325_941.cml_ConnectedDrive_Store_0	ConnectedDrive Store	"The concept

 In vehicles with specific technical requirements, various services in the vehicle can be ordered later."
33489325_941.cml_ConnectedDrive_Store_1	ConnectedDrive Store	"General information

 The offering of services depends on the country."
33489325_941.cml_ConnectedDrive_Store_2	ConnectedDrive Store	"Ordering services

 About iDrive:
1.  ConnectedDrive 
An overview of the services present in the vehicle and those to be ordered later is displayed.
2. To purchase a service, select it and follow the instructions on the Control Display."
33489683_126.cml_Deleting_personal_in_the_vehicle_0	Deleting personal in the vehicle	"The concept

 Depending on the usage, the vehicle saves personal data, such as stored radio stations. These personal data can be permanently deleted through iDrive."
33489683_126.cml_Deleting_personal_in_the_vehicle_1	Deleting personal in the vehicle	"General information

 Depending on the equipment package, the following data can be deleted:
- Profile settings.
- Stored radio stations.
- Stored Favorites buttons.
- Travel and on-board computer information.
- Music collection.
- Navigation, e.g. stored destinations.
- Phone book.
- Online data, e.g. Favorites, cookies.
- Office data, e.g. voice notes.
- Login accounts.Altogether, the deletion of the data can take up to 15 minutes."
33489683_126.cml_Deleting_personal_in_the_vehicle_2	Deleting personal in the vehicle	"Functional requirement

 Data can only be deleted while stationary."
33489683_126.cml_Deleting_personal_in_the_vehicle_3	Deleting personal in the vehicle	"Deleting data

 Heed and follow the instructions on the Control Display.
About iDrive:
1. Switch on operating readiness.
2.  My Vehicle 
3.  iDrive settings 
4.  Delete personal data 
5.  Delete personal data 
6.  OK 
7. Exit and lock the vehicle.After 15 minutes, the deletion process is completed.
If not all of the data was deleted, repeat the deletion."
33489683_126.cml_Deleting_personal_in_the_vehicle_4	Deleting personal in the vehicle	"Canceling deletion

 Switch on the drive-ready function to cancel deletion of the data."
33489719_350.cml_Dynamic_Marker_Light_0	Dynamic Marker Light	"In addition to the warning, detected objects are illuminated using the Dynamic Marker Light.
The object is lighted until it is no longer in the warning area.
With the Dynamic Marker Light, the indicator lamp for high beams lights up.
The Dynamic Marker Light is a part of the LED or laser headlamp."
33489719_350.cml_Dynamic_Marker_Light_1	Dynamic Marker Light	"Requirements

 - Light switch in position:
- Low beams, high beams or adaptive high beams light up.
- No light sources or illuminated road users in the warning area."
33489719_350.cml_Dynamic_Marker_Light_2	Dynamic Marker Light	"Activating/deactivating

 About iDrive:
1.  My Vehicle 
2.  Vehicle settings 
3.  Intelligent Safety 
4.  Dynamic Marker Light During the warning:
Actuate the headlight flasher to switch off the Dynamic Marker Light for the current warning."
33489845_673.cml_Opening_the_map_0	Opening the map	"1.  Navigation 
2.  Map The map can also be accessed directly with the button on the controller."
33489845_764.cml_Opening_the_map_0	Opening the map	"1.  Navigation 
2.  Map The map can also be accessed directly with the button on the controller."
33489915_112.cml_Split_screen_0	Split screen	"General information

 Additional information can be displayed in several menus on the right side of the split screen, for example information from the onboard computer.
In the divided screen view, the so-called split screen, this information remains visible even when you change to another menu."
33489915_112.cml_Split_screen_1	Split screen	"Switching the split screen on/off

 1. Press button.
2.  Split screen "
33489915_112.cml_Split_screen_2	Split screen	"Selecting the display

 The display can be selected in menus, where the split screen is supported.
1. Move the Controller to the right until the split screen is selected.
2. Press the Controller.
3. Select desired setting."
33489915_112.cml_Split_screen_3	Split screen	"Specifying the number of displays

 It is possible to specify the number of displays.
1. Move the Controller to the right until the split screen is selected.
2. Press the Controller.
3.  Personalize menu 
4. Select desired setting.
5. Move the Controller to the left."
33490026_801.cml_Destination_guidance_0	Destination guidance	"Adjusting

 1.  Navigation 
2.  Settings 
3.  Guidance settings 
4. Select desired setting.
-  Voice instruct. 
-  Detailed voice instructions 
-  Short voice instructions 
-  Gong 
-  n. t. a. (ASIA NAV) : intersections are automatically enlarged.
-  n. t. a. (ASIA NAV) : lane information is displayed.
- Display  n. t. a. (ASIA) : destination guidance hints on the map.
-  n. t. a. (ASIA NAV) : city highways are displayed for larger cities.
-  n. t. a. (JP) : lanes with ETC gates are displayed.
-  n. t. a. (ASIA NAV) : for trips without active destination guidance only. Signposts are displayed at the selected intersections/turnoffs.
-  n. t. a. (ASIA NAV) 
-  n. t. a. (ASIA NAV) : Special traffic bulletins such as temporary lane changes is displayed.
-  n. t. a. (ASIA) "
33490026_801.cml_Destination_guidance_1	Destination guidance	"Destination guidance hints

 General information

 If destination guidance is active, destination guidance hints can be displayed in the map view for the respective maneuvering points of the current route.
In the case of multi-lane roads, lane information may indicate the recommended lanes.
Destination guidance hints can also be displayed as arrow view in the split screen.
Display"
33490192_524.cml_The_concept_0	The concept	"Positions at which Panorama View is to switch on automatically can be stored as activation points as soon as a GPS signal is received.
Up to ten activation points can be stored.
Activation points can be used when driving forward for the front camera."
33490296_1254.cml_Changing_between_active_and_conventional_cruise_control_0	Changing between active and conventional cruise control	"Changing to cruise control without distance control:
- Press and hold this button.
- Press and hold this button. Press and hold this button. In order to switch back to cruise control with distance control, press the button again.
WARNING
The system does not react to traffic driving ahead of you, but instead maintains the stored speed. There is risk of accidents or risk of property damage. Adjust the desired speed to the traffic conditions and brake as needed."
33490322_114.cml_Status_field_symbols_0	Status field symbols	"The symbols are grouped as follows:
Radio symbols

 Symbol
Meaning
HD Radio station is being received. Satellite radio is switched on."
33490322_114.cml_Status_field_symbols_1	Status field symbols	"Telephone symbols

 Symbol
Meaning

Incoming or outgoing call.

Missed call.

Wireless network reception strength.
Symbol flashes: network search.

Wireless network is not available.
Data transfer not possible. 
Roaming is active.

Text message was received.

Message received.

Reminder.

Sending not possible.

Contacts are imported."
33490322_114.cml_Status_field_symbols_2	Status field symbols	"Entertainment symbols

 Symbol
Meaning

CD/DVD player.
Music collection. 
AUX-IN port. AUX-IN port in the front or in the rear. 
Bluetooth audio.

USB audio interface.
Mobile phone audio interface. 
Online Entertainment.

WLAN.

iPod."
33490322_114.cml_Status_field_symbols_3	Status field symbols	"Additional symbols

 Symbol
Meaning

Check Control message.

Spoken instructions are turned off.
Request of the current vehicle position. Check the current vehicle position. Traffic bulletins."
33490542_111.cml_Touchpad_0	Touchpad	"General information

 Some iDrive functions can be operated using the touchpad on the Controller."
33490542_111.cml_Touchpad_1	Touchpad	"Selecting functions

 1.  My Vehicle 
2.  iDrive settings 
3.  Touchpad 
4. Select desired setting.
-  Speller : enter letters and numbers.
-  Map : viewing the interactive map.
-  Browser : enter Internet addresses.
-  Search fields : write letters without selecting the list field.
-  Audio feedback : pronounces entered letters and numbers."
33490542_111.cml_Touchpad_2	Touchpad	"Entering letters and numbers

 Entering letters requires some practice at the beginning. When entering, pay attention to the following:
- The system distinguishes between upper and lower-case letters and numbers. For entries, it may be necessary to change between upper and lower-case letters, numbers and characters.
- Enter characters as they are displayed on the Control Display.
- Always enter associated characters, such as accents or periods so that the letter can be clearly recognized. Possible input depends on the set language. Where necessary, enter special characters via the Controller.
- To delete a character, swipe to the left on the touchpad.
- To enter a blank space, slide to the right in the center of the touchpad.
- To enter a hyphen, slide to the right in the upper area of the touchpad.
- To enter an underscore, swipe to the right in the lower area of the touchpad. Entering letters and characters

 Letters, syllables and numbers can be entered via the touchpad.
Activating entry via touchpad

 Tap symbol.
The entry via touchpad is activated. 1. Select input language.
2. Select input mode.
3. Entering letters, syllables or numbers via the touchpad.
To delete a character, swipe to the left on the touchpad."
